LCC,Yr.,Title
B2948 .R62513 2003,2003,Before & After Hegel: A Historical Introduction to Hegel's Thought
B2948 .R62513 2003,2003,Before & After Hegel: A Historical Introduction to Hegel's Thought
B2948 .S85 1955,1955,The Philosophy of Hegel
B2948 .S85 1955,1955,The Philosophy of Hegel
B312 .E5 T75 2002,2002,The Trials of Socrates
B317 .B69 1993,1993,Plato's Socrates
B317 .B69 1993,1993,Plato's Socrates
B317 .G6 1955,1955,Socrate et Diotime
B317 .G6 1955,1955,Socrate et Diotime
B3181. S47 1984,1984,Philosophy in Germany 1831-1933
B3181. S47 1984,1984,Philosophy in Germany 1831-1933
B3213 .B82 E5,1965,The Knowledge of Man
B3213 .B82 E5,1965,The Knowledge of Man
B3213 .B82 E52,1957,Pointing the Way
B3213 .B82 E52,1957,Pointing the Way
B3213 .B82 E525,1966,The Way of Response
B3213 .B82 E525,1966,The Way of Response
B3213 .B82 E53,1960,The Writings of Martin Buber
B3213 .B82 E53,1960,The Writings of Martin Buber
B3213 .B83 I213 1970,1970,I and Thou
B3213 .B83 I213 1970,1970,I and Thou
B3213 .B84 M36,1974,Martin Buber
B3213 .B84 M36,1974,Martin Buber
B3213 .B84 S6,1966,Martin Buber
B3213 .B84 S6,1966,Martin Buber
B3216.C33 E8 1969,1969,An Essay On Man
B3279 .H274 G123,1982,Heidegger Memorial Lectures
B3279 .H47 E5,1979,Existence and Being
B3279 .H49 G68,1970 P,On Understanding Violence Philosophically & Other Essays
B3279 .H49 G79,1983,Heidegger and the Problem of Knowledge
B3279 .H49 S693,1978,"Martin, Heidegger"
B3279 .H49 S693,1978,"Martin, Heidegger"
B3279 .H92 E5,1965,Phenomenology and the Crisis of Philosophy
B3279 .H93,1982,Cartesian Meditations
B3279 .H93 I33,1962,Ideas: General Introduction to Pure Phenomenology
B3279 .J33 E83,1971,Philosophy of Existence
B3279 .J33 E83,1971,Philosophy of Existence
B3279 .J33 P513 v1,1969,Karl Jaspers Philosophy Vol 1
B3279 .J33 P513 v2,1969,Karl Jaspers Philosophy Vol 2
B3279 .J33 P513 v3,1969,Karl Jaspers Philosophy Vol 3
B3279 .J34 W3,1970,Karl Jasper: An Introduction to His Philosophy
B3279.H48 S465 1970,1970,"A Commentary on Heidegger's ""Being and Time"""
B3305 .M74,1980,Marx
B3305 .M74,1980,Marx
B3305.M74F72,1962,Beyond the Chains of Illusion
B3305.M74F72,1962,Beyond the Chains of Illusion
B3312 .E52 W67,1927,The Philosophy of Nietzsche
B3313 .Z73 E5,2009,Nietzsche: On the Genealogy of Morality
B3376 .W56 .Z7 1985,1985,Wittgenstein
B3376 .W561 A6 1967,1967,Ludwig Wittgenstein: Zettel
B3376 .W561 W7413,1980,Culture and Value
B3376 .W561 W7413,1980,Culture and Value
B3376 .W563 P52613,1978,Philosophical Grammar
B3376 .W563 T7313,1985,Tractatus Logico-Philosophicus
B3376 .W564 G53,1981,Wittgenstein adn Phenomenology
B3376 .W564 H24 1975,1975,Insight and Illusion
B3376 .W564 K4,1973,Wittgenstein
B3376 .W564 K74,1982,Wittgenstein On Rules and Private Language
B3376 .W564 P52,1966,Wittgenstein: The Philosophical Investigations
B3378 .W564 L4,1970,A Wittgenstein Workbook
B358 .B54 1988,1988,"A Guided tour of Five Works by Plato with complete translations of Euthyphro, Apology, Crito, Phaedo (death scene), Allegory of the Cave"
B358 .B54 1988,1988,"A Guided tour of Five Works by Plato with complete translations of Euthyphro, Apology, Crito, Phaedo (death scene), Allegory of the Cave"
B358 .C5 1956,1956,"Plato: Euthyphro, Apology, Crito"
B358 .G78 1981,1981,"Five Dialogues: Euthyphro, Apology, Crito, Meno, Phaedo"
B358 .G7813 2002,2002,"Plato Five Dialogues: Euthyphro, Apology. Crito, Meno, Phaedeo second ed."
B358 .G7813 2002,2002,"Plato Five Dialogues: Euthyphro, Apology. Crito, Meno, Phaedeo second ed."
B358 .J67813,1949,Plato: Meno
B358 .J8 1977,1977,The Portable Plato
B358 .J8 1977,1977,The Portable Plato
B358 .J855,1941,Five Great Dialogues
B358 .T7,1954,The Last Days of Socrates
B358 .T7,1979,Plato: The Last Days of Socrates
B3614 .C73 E713 1956,1956 P,Aesthetic
B371 .A5 H4,1952,Plato: Gorgias
B371 .A5 W37 1994,1994,Plato: Gorgias
B371 .A5 W37 1994,1994,Plato: Gorgias
B371 .A5 Z48 1986,1986,Plato: Gorgias
B371 .A5 Z48 1986,1986,Plato: Gorgias
B379 .A5 C5,1951,Plato: Phaedo
B379 .D55 1992,1992,Philosophy and the Philosophic Life: A Study in Plato's Phaedo
B379 .D55 1992,1992,Philosophy and the Philosophic Life: A Study in Plato's Phaedo
B380 .A5 H35,1973,Plato: Phaedrus and the Seventh and Eighth Letters
B380 .A5 H4,1956,Plato: Phaedrus
B380 .A5 N44,1995,Plato: Phaedrus
B380 .A5 N44 1995,1995,Plato Phaedrus
B380 .A5 N44 1995,1995,Plato Phaedrus
B382 .A5 B37,1986,Plato: Protagoras and Meno
B385 .A5 D68 1979,1979,Plato: Symposium
B385 .A5 D68 1979,1979,Plato: Symposium
B385 .A5 H3,1967,Plato: The Symposium
B385 .A5 J67 1993,1993,Plato Symposium and Phaedrus
B385 .A5 J67 1993,1993,Plato Symposium and Phaedrus
B385 .A5 N44,1989,Plato: Symposium
B385 .A5 N44 1989,1898,Plato Symposium
B385 .A5 N44 1989,1898,Plato Symposium
B386 .A5 C6 1957,1957,Plato's Theory of Knowledge
B387 .A5 C65,1959,Plato: Timaeus
B387 .A5 C65,1957,Plato's Cosmology
B387 .S24 1999,1999,Chorology
B393 .R9,1966,Plato's Progress
B395 .B77,1962,Plato for the Modern Age: An intorduction to Plato's life and thought and their meaning in today's world.
B395 .B77,1962,Plato for the Modern Age: An intorduction to Plato's life and thought and their meaning in today's world.
B395 .G67,1961,Plato's Thought
B395 .G67,1961,Plato's Thought
B398 .A4 1977,1977,The Fire and the Sun: Why Plato Banished the Artists
B398 .E8 G2913 1986,1986,The Idea of the Good in Platonic-Aristotelian Philosophy
B398 .E8 G2913 1986,1986,The Idea of the Good in Platonic-Aristotelian Philosophy
B398 .M8 B55 1999,1999,Plato the Myth Maker
B398 .M8 B55 1999,1999,Plato the Myth Maker
B398 .P6 H3,1982,Preface to Plato
B407 .M2,1941,The Basic Works of Aristotle
B407 .R6,1964,The Pocket Aristotle
B41 .B53 1996,1996 P,Oxford Dictionary of Philosophy
B41 .E51,1967 H,The Encylopedia of Philosophy 1&2
B41 .E52,1967 H,The Encylopedia of Philosophy 3&4
B41 .E53,1967 H,The Encylopedia of Philosophy 5&6
B41 .E54,1967 H,The Encylopedia of Philosophy 7&8
B41 .L32 1976,1976 P,A Dictionary of Philosophy
B41 .R8 1942 FT MEADE,1942 H,The Dictionary of Philosophy
B41 .U7 1960,1960 H,The Concise Encyclopedia of Western Philosophy and Philosophers
B4262 .E5 D8,1950,A Solovyov Anthology
B4262 .E5 D8,1950,A Solovyov Anthology
