LCC,Yr.,Title
JC257 .W43,1960,The Vocabulary of Politics
JC257 .W43,1960 P,The Vocabulary of Politics
JC258 .J6,1964 H,Introduction to Modern Political Theory
JC273 .G28 I9,1973 P,The Moral and Political Thought of Mahatma Gandhi
JC311 .J24,1959,Five Ideas that Change the World
JC319 .S52,1982,An Introduction to Political Geography
JC328.3 .S45 1973a,1973 P,"The Politics of Nonviolent Action, Part 1: Power and Struggle"
JC328.3 .S45 1973b,1973 P,"The Politics of Nonviolent Action, Part 2: Methods of Nonviolent Action"
JC328.3 .S45 1973c,1973 P,"The Politics of Nonviolent Action, Part 3: The Dynamics of Nonviolent Action"
JC328.3 .S46,1980 P,Social Power and Political Freedom
JC328.3 .T641987,1963 P,On Civil Disobedience and Non-Violence
JC328.6 .M32,1974,Violence adn the State
JC361 .M55,1977 P,Toward a Human World Order: Beyond the National Security Straitjacket
JC421 .H86,1991,The Third Wave
JC421 .L56,1996,Problems of Democratic Transition and Consolidation
JC423 .H75 1965,1965 P,"Political Power and Personal Freedom: Critical Studies in Democracy, Communism, and Civil Rights"
JC423 .L58 1963,1963 P,Political Man: The Social Bases of Politics
JC481 .A62 1985,1985,The Origins of Totalitarianism
JC481 .L34 1996,1996,Fascism: Past Present Future
JC481 .P375 1995,1995,A History of Fascism 1914-1945
JC491 .A67,1972 P,"Crises of the Republic: Lying in Politics, Civil Disobedience, On Violence, Thoughts on Politics and Revolution"
JC491 .A68 1973,1973 P,On Revolution
JC491 .B7 1965,1965 P,The Anatomy of Revolution
JC507 .A5 1963,1963 H,"Justice, Nomos VI"
JC571 .B474,1977 P,On Being Free
JC571 .B474,1997 H,The Gift of Peace: Personal Reflections
JC571 .B474 1987,1987 P,On Being Free
JC571 .B474 1987,1987 P,On Being Free
JC571 .E67,1991 H,Encyclpedia of Human Rights
JC571 .H7698,1979,The Human Rights Reader
JC571 .H788 1992,1992 P,World Human Rights Guide
JC571 .I86 1986,1986 P,The History and Contents of Human Rights: A Study of the History and Interpretation of Human Rights
JC571 .J3 F3,1958,Faith and Freedom
JC571 .R435 1996,1996 P,Readings in Social & Political Philosophy
JC571 .R435 1996,1996,Readings in Social and Political Philosophy
JC571 .U45 1969,1969 H,Birthright of Man
JC571 .W67 2006,2006,World Report
JC571 .W67 2012,2012,World Report 2012
JC575 .W34 1983,1983,Spheres of Justice: A Defence of Pluralism and Equality
JC575 .W34 1983,1983 P,Spheres of Justice: A Defense of Pluralism and Equality
JC578 .B36,1973 P,The Liberal Theory of Justice: A Critical Examination of the Principle Doctrines in A Theory of Justice by John Rawls
JC578 .B7,1945,Justice and the Social Order
JC578 .G3,1976,Educating for Peace and Justice: A Manual for Teachers
JC578 .J87,1980 P,Justice: Alternative Political Perspectives
JC578 .R38,1976,Theory of Justice
JC578 .R38,1971,A Theory of Justice
JC578 .R38 1971,1971 P,A Theory of Justice
JC578 .W47 1990,1990,What is Justice?
JC578 .W47 1990,1990 P,What is Justice?: Classic and Contemporary Readings
JC578.J87,1980,Justice : Alternative Political Perspectives
JC585 .F76 1989,1989 P,The Machinery of Freedom: Guide to Radical Capitalism
JC585 .M6 1975,1975 P,"On Liberty: Annotated Text, Sources and Background Criticism"
JC599 .G8 G7813,???? O,Guatemala: Memory of Silence
JC599 .G8 G7813,???? O,Guatemala: Memory of Silence
JC599 .U5 V28 1981,1981 P,"Values in Conflict: Life, Liberty and the Rule of Law"
JC599 .U5 V28 1981a,1981 P,"Values in Conflict: Life, Liberty and the Rule of Law"
JC599 .U5 V28 1981a,1981 P,"Values in Conflict: Life, Liberty and the Rule of Law"
JC599 .U5 W63,2007,The End of America
JC599.P5 C55 1996,1996 O,Educating for Human Rights: From Vision to Reality
JC71 .P35,1979,Plato: The Republic
JC71 .P35,1974,Plato's Republic
JC71 .P6,1981,An Introduction to Plato's Republic
JC73 .M34,1969,The Athenian Aristocracy 399 to 31 B.C.
JF1001 .H56,1994,Ideology and the Theory of Political Choice
JF2051 .M48 1970,1970 P,Political Parcipitation: How and Why Do People Get Involved in Politics?
JF51 .D73,2008,The Good Society
JK1051 .S57 1984,1984,The Glass House
JK1118 .G36,1972 P,In Common Cause: Citizen Action and How It Works
JK1118.C4,1945,Democracy under Pressure
JK1118.M39 1984,1984,Common Cause
JK146 .V3 1948,1948 H,The Great Rehearsal: The Story of the Making and Ratifying of the Constitution of the U.S.
JK154 1888,???? H,The Federalist: A Commentary on the Constitution of the United States
JK154 1888,1888 H,The Federalist: A Commentary on the Constitution of the United States
JK154 1888,1888 H,The Federalist: A Commentary on the Constitution of the United States
JK1726 .S325 1998,1998 P,Democracy's Discontent: America in Search of a Public Philosophy
JK1726. S325 1996,1998,Democracy's Discontent
JK1764 .G74 1992,1992,Who Will Tell the People
JK1764 .L36,1994,The Quickening of America
JK1898.F3 1967,1967,Petticoat Politics
JK21 .C46,1973,Heresies Right and Left
JK216 .T7 1960,1960 P,Democracy in America
JK261 .K47,1987,Individualism and Public Life
JK271 .W6 1961,1961,The New Freedom
JK271 .W6 1961,1961 P,The New Freedom: A Call for the Emancipation of the Generous Energies of a People
JK274 .S74 1988,1988 P,Vital Statistics on American Politics
JK274 .V582,1988,Vital Statistics on American Politics
JK275 .M27,2012,It's Even Worse Than It Looks
JK31 .H86 2004,2004,American Democracy in Peril
JL1496 .G56 2001,2001 P,Globalization on the Ground: Postbellum Guatemalan Democracy and Development
JL1616 .M84,1984,The Barren Fig Tree
JL3031 .M35,1972 P,Ecuador: Conflicting Poltical Culture and the Quest for Progress
JN96 .A1 E27,1999,Eastern Europe After Kosovo
JQ3513 .N9 1997,1977 P,The Arusha Declaration Ten Years After
JS422 .H33 1981,1981 P,Political Change in the Metropolis
JV6895 .J5 B74 1987,1987,"American Refugee Policy and European Jewry, 1933-1945"
JX 1395 .K4,1999,World Politics
JX 1954 .C5 C6,1965,A Constitution for the World
JX1255 .F7,1967 P,Sanity & Survival: Psychological Aspects of War and Peace
JX1291 .H36 1974,1974 P,Introductory Case Studies for International Relations: Vietnam/ The Middle East/ The Environmental Crisis
JX1291 .H36 1974,1974 P,Introductory Case Studies for International Relations: Vietnam/ The Middle East/ The Environmental Crisis
JX1291 .H36 1974,1974 P,Introductory Case Studies for International Relations: Vietnam/ The Middle East/ The Environmental Crisis
JX1308 .B7,1974 P,Search for Peace: Readings in International Relations
JX1391 .Z53,1993,War Peace and International Politics
JX1391 .Z53 1990,1990 P,"War, Peace, and International Politics"
JX1393 .N612 1995,1995 P,Nato Handbook
JX1395 .B45,1966,Foreign Policy in Christian Perspective
JX1395 .G575,1984,The Global Agenda
JX1395 .K4 1981,1981 P,World Politics: Trend and Transformation
JX1395 .M265,1975,Violence and Nonviolence in International Relations
JX1395 .R4,1973 P,Toward the 21st Century: Education for a Changing World
JX1417 .J63,1980 P,The National Interest and the Human Interest: An Analysis of U.S. Foreign Policy
JX1417 .R65,1972,Peace in the Balance
JX1428 .R8 B36,1977 H,The Giants: Russia and America
JX1560 .A88 1983,1983 P,Sweden's Policy of Neutrality
JX1573 .F3 vol 1,1968,The Vietnam War and International Law vol 1
JX1573 .F3 vol 2,1968,The Vietnam War and International Law Volume 2
JX1573 .F3 vol 3,1968,The Vietnam War and International Law Volume 3
JX1573 .F3 vol 4,1968,The Vietnam War and International Law Volume 4
JX1901 .P248 v.35 no. 3,2010,Peace and Change Volume 35 Number 3
JX1901 .P248 v.35 no.1,2010,Peace and Change Volume 35 Number 1
JX1901 .P248 v.35 no.2,2010,Peace and Change Volume 35 Number 2
JX1901 .P42 .v27 no.3,2002,Peace and Change Vol. 27 No. 3 July 2002
JX1901 .P42 v.27 no.4,2002,Peace and Change Vol. 27 No. 4 October 2002
JX1901 .P42 v.30 no.1,2005,Peace and Change Vol. 30 No. 1 January 2005
JX1901 .P42 v.30 no.4,2005,Peace and Change Vol. 30 No. 4 October 2005
JX1904.5 .K44 1991,1991 P,"Realizing Peace: An Introduction to Peace Studies: Strategy, Weapons, War"
JX1904.5 .P39 1981,1981 P,Peace and World Order Studies: A Curriculum Guide
JX1904.5 .P4 1978,1978 O,Peace and World Order Studies: A Curriculum Guide
JX1904.5 .P4 v.39 no.1-2,2007,Peace Research: vol 39 no.1-2
JX1904.5 .W43,1976 P,Peace and World Order Systems: Teaching and Research
JX1931 1965 .I4 P4,1965,Peace on Earth
JX1937 .F4,1915,Selected Quotations on Peace and War
JX1937 .F4 1915,1915 H,Selected Quotations on Peace and War
JX1937 .F4 1915,1915 H,Selected Quotations on Peace and War
JX1949 .C5,1903,Discourses on War
JX1952 .B28 1991,1991 H,Introduction to Peace Studies
JX1952 .B444 1986,1986 P,Visions of a Warless World
JX1952 .B53 1971,1971 P,Blessed are the Peacemakers: The Voice of Peace- from Isiah to Bob Dylan
JX1952 .B53 1971,1971 P,Blessed are the Peacemakers: The Voice of Peace- from Isiah to Bob Dylan
JX1952 .B55,1928,Between War and Peace
JX1952 .B558 1989,1990 P,A Strategy for Peace: Human Values and the Threat of War
JX1952 .B745,1970,Twentieth-Century Pacifism
JX1952 .B745,1970 P,Twentieth-Century Pacifism
JX1952 .B755,1981 P,Making Peace in the Global Village
JX1952 .B755,1981 P,Making Peace in the Global Village
JX1952 .B755,1981 P,Making Peace in the Global Village
JX1952 .J558,1978 P,Toward a Dependable Peace: A Proposal for an Appropriate Security System
JX1952 .L3 W3,1963,A Warless World
JX1952 .L35 W3,1965,The War System and You
JX1952 .L526 1961,1961 H,"Towards a Science of Peace, 1814-1815"
JX1952 .N35,1924,The Road to World Peace
JX1952 .R337 1990,1990 P,A Reader in Peace Studies
JX1952 .S34,1969,Why a Department of Peace?
JX1952 .W25,1956,Paths to Peace
JX1952 .W44,1963 H,Instead of Violence
JX1952.F47 1985,1985 P,A Common Sense Guide to World Peace
JX1953 .B54 1971,1971 P,Blessed are the Peacemakers: The Voice of Peace- from Isiah to Bob Dylan
JX1953 .H84 1986,1986 P,Let's Abolish War (Not a New Idea)
JX1953 .H84 1986,1986 P,Let's Abolish War (Not a New Idea)
JX1953 .K5,1910,War- What for?
JX1953 .L277 1982,1982 P,Creating Peace: A Positive Handbook
JX1953 .L277 1982,1982 P,Creating Peace: A Positive Handbook
JX1953 .L277 1982,1982 P,Creating Peace: A Positive Handbook
JX1953 .N62,1918,Practical Pacifism and its Adversaries
JX1953 .N64 1978,1978 P,The 1978 Peace Calendar: Nonviolent Struggle Around the World
JX1953 .W5,1949,The Wild Flag
JX1953 .Y6,1971 P,Nevertheless: Varieties of Religious Pacifism
JX1954 .C4,1954,Organizing for Peace
JX1954 .C68,1945,Modern Man is Obsolete
JX1954 .F47 1991,1991 P,Planethood: The Key to Your Future
JX1954 .O53,1975,On the Creation of a Just World Order
JX1961 .A3 F5,1924,America's Interest in World Peace
JX1961 .A3 M6,1912,The Peace Movement of America
JX1962.P35 A36 1983,1983 P,Peace Pilgrim: Her Life and Work in Her Own Words
JX1963 .B699 1992,1992,An Agenda for Peace
JX1963 .B699 1992,1992 P,An Agenda for Peace
JX1963 .B699 1992,1992 P,An Agenda for Peace
JX1963 .F65,,The Peace Movement and Some Misconceptions
JX1963 .F76,1973,Peacekeeping
JX1963 .F76,1973 P,Perspectives in World Order: Peacekeeping
JX1963 .F76,1973 P,Perspectives in World Order: Peacekeeping
JX1963 .G23,1979,Philosophers of Peace and War
JX1963 .I65 1968,1968 P,World Religions and World Peace: The International Inter-Religious Symposium on Peace
JX1963 .I65 1968,1968 P,World Religions and World Peace: The International Inter-Religious Symposium on Peace
JX1963 .J48,1959,The Quest for Peace: An Indian Approach
JX1963 .L465,1964,Peace Requires Peacemakers
JX1963 .M428 1966,1966 H,The Pacifist Conscience: Classic Writings on Alternatives to Violent Conflict from Ancient Times to the Present
JX1963 .M428 1966,1966 H,The Pacifist Conscience: Classic Writings on Alternatives to Violent Conflict from Ancient Times to the Present
JX1963 .M5882 1962,1962 P,A World Without War
JX1963 .M5882 1962,1962 P,A World Without War
JX1963 .M65 1961,1962 P,A World Without War
JX1963 .M65 1961,1962 P,A World Without War
JX1963 .M8455,1970,The Essays of A.J. Muste
JX1963 .M8455 1970,1970 P,Essays of A.J. Muste
JX1963 .M8455 1970,1970 P,Essays of A.J. Muste
JX1963 .N24 1966,1966 P,Religion and Peace: Papers from the National Inter-Religious Conference on Peace
JX1963 .N24 1966,1966,Religion and Peace
JX1963 .N24 1966,1966 P,Religion and Peace: Papers from the National Inter-Religious Conference on Peace
JX1963 .P3257,1982 H,A Lifelong Quest for Peace: A Dialogue
JX1963 .P3257,1982 H,A Lifelong Quest for Peace: A Dialogue
JX1963 .S37 1986,1986 P,Securing Our Planet: How to Succeed When Threats Are Too Risky and There's Really No Defense
JX1963 .S37 1986,1986 P,Securing Our Planet: How to Succeed When Threats Are Too Risky and There's Really No Defense
JX1965 .K4,1916,"War, Peace, and the Future"
JX1971.6 .K6,1963,Too Grave A Risk
JX1974 .7 .N82 1974,1974,Nuclear Proliferation Problems
JX1974 .A5,1952,Toward Security Through Disarmament
JX1974 .E75,1962 P,The Hard Way to Peace: A New Strategy
JX1974 .F85,1961,Arms Reduction Program and Issues
JX1974 .G518 1983,1983 P,Arms Control Agreements: A Handbook
JX1974 .M572 1985,1985 P,Do the Soviets Cheat at Arms Control?: Does the U.S. Have a Case for Abrogating Treaties…
JX1974 .M57x 1985,1985,Do the Soviets Cheat at Arms Control?
JX1974 .M948 1982,1982 P,The Game of Disarmament: How the U.S. & Russia Run the Arms Race
JX1974 .N76,1958,The Arms Race
JX1974 .P3697,1979,Peace in Search of Makers
JX1974 1979,1979 P,Peace in Search of Makers
JX1974.7 .B36 1982,1982 P,Stop Nuclear War!: A Handbook
JX1974.7 .B678 1988,1988 P,Breakthrough: Emerging New Thinking: Soviet and Western Scholars Issue a Challenge to Build a World Beyond War
JX1974.7 .B7,1961,"Arms Control, Disarmament, and National Security"
JX1974.7 .E28 1983,1983 P,Education for Peace and Disarmament: Toward a Living World
JX1974.7 .L58 1983,1983 P,Living with Nuclear Weapons
JX1974.7 .L63 1987,1987 P,Hope in Hard Times: America's Peace Movement and the Reagan Era
JX1974.7 .N63 1967,1967,Nulear Non-Perliferation in a World of Nuclear Powers
JX1974.7 .P445 1996,1996 P,The Ribbon around the Pentagon: Peace by Piecemakers
JX1974.7 .P77,1981,Protest and Survive
JX1974.7 .R34,???? O,A Race to Nowhere: An Arms Race Primer for Catholics
JX1974.7 .R34,???? O,A Race to Nowhere: An Arms Race Primer for Catholics
JX1974.7 .R34,???? O,A Race to Nowhere: An Arms Race Primer for Catholics
JX1974.7 .S2194 1984,1984 P,The Abolition
JX1974.7 .T525 1982,1982 P,Beyond the Cold War: A New Approach to the Arms Race and Nuclear Annihilation
JX1974.7 .T68 1984,1984 P,Toward Nuclear Disarmament and Global Security: A Search for Alternatives
JX1974.7 A.89 1987,1987 H,Nuclear Arms: Two Views on World Peace
JX1974.73 .K466 1982,1982 P,Freeze!: How You Can Help Prevent Nuclear War
JX1975 .R85,1922,The British Empire and World Peace
JX1977 .A38 1993,1993 P,"The U.N. Commission on Human Rights, Its Sub-Commission, and Related Procedures: Orientation Manual:"
JX4481 .P43 1996,1996 P,Humanitarian Intervention: Just War vs. Pacifism
JX4511 .P54,1974 P,"Philosophy, Morality and International Affairs"
JX5437.8 .P37,1994,Nuremberg: Imfamy on Trial
JZ1318.S74 2003,2003,Globalization: A Very Short Introduction
JZ1963 .M549 1980,1980,The Nonviolent Alternative
JZ5534 .G58,2000 O,Global Directory of Peace Studies and Conflict Resolution Programs
JZ5534 .S65 1994,1994 O,"Don't Just Stand There, DO Something!: Spring 1994."
JZ5548 .D35 2004,2004 P,Peace Talks-Who Will Listen?
JZ5548 .D35 2004,2004,Peace Talks
JZ55538 .P685,2002,The Power of Nonviolence: Writings by Advocates of Peace
JZ5574 .H83 1986,1986 P,Let's Abolish War (Not a New Idea)
K190 .H64 1968,1968 P,The Law of Primitive Man
K226 .L44 1993,1993 P,Legal Philosophy: Selected Readings
K226 .L44 1993,1993,Legal Philosophy
K230 .H43 G7813,1967,Hegel's Philosophy of Right
K230.P67 I58 1922,1922 H,An Introduction to the Philosophy of Law
K237 .H3,1979,The Concept of Law
K247.6 .L457 1973,1973 P,"Liberty, Justice, and Morals: Contemporary Value Conflicts"
K247.6 .L457 1973,1973 P,"Liberty, Justice, and Morals: Contemporary Value Conflicts"
K3240.4 .W46 1989,1989 H,Human Rights: A Reference Handbook
K3255 .M54,1951,Areopagitica and Of Education
K3269 .C58 1969,1969 P,Civil Disobedience: Theory and Practice
K357 .B3613 1956,1956 P,The Law
K447 .T45 A2 2002,2002,"On Law, Morality, and Politics"
K455 .H33 1995,1995,Natural Law and Moral Philosophy: From Grotius to the Scottish Enlightenment
K455 .H63 2000,2000,Natural Law Theories in the Early Enlightenment
K457 .P8 D4313,2003,"The Whole Duty of Man, According to the Law of Nature"
K5250 .T725,2012,Transitional Justice
KBP526.32 .B33 A338,2003,Gender Equity in Islam
KD8386 .L48 1986,1986,Origins of the Fifth Amendement
KF1262 .G7,1975 P,Legal Protections of Privacy
KF213 .H6 1920,1920 H,Collected Legal Papers
KF213.H6 M37,1955 P,The Holmes Reader
KF224 .A484 G74,1977,The Great Sioux Nation
KF228 .M39 G55 1985,1985,Creationism on Trial
KF27 .F6 2004,2004 P,"Foreign Affairs: Beyond Kyoto: Vol. 83, Number 4, July/August 2004"
KF380 .C5 1964,1950 H,Reason and Law: Studies in Juristic Philosophy
KF380 .C5 1964,1950 H,Reason and Law: Studies in Juristic Philosophy
KF380.C5 1964,1950 H,Reason and Law: Studies in Juristic Philosophy
KF3812 .Z9 B78 1993,1993 P,"Blue Skies, Green Politics: The Clean Air Act of 1990"
KF3959 .B67 1987,1987,Psesticides and Politics
KF4541 .B313,???? H,Restoring the Lost Constitution: The Presumption of Liberty
KF4750 .A436 1998,1998 P,The Bill of Rights
KF4772 .Z9 C65 1996,1996,The Death of Discourse
KF4772 .Z9 C65 1996,1996,The Death of Discourse
KF4783 .L48 1989,1986,The Establishment Clause
KF480 .A32 L6 1995,,Loving Justice
KF535 .Z9 H683 1981,1981,No-Fault Divorce
KF7266 .C6 C45 1972,1972 P,Handbook for Conscientious Objectors: September 1970
KF8228 .D1 G7,1977 O,The Great Sioux Nation: Sitting in Judgement on America: An Oral History of the Sioux Nation…
KF8745 .M3 S87,1955 P,The Marshall Reader: The Life and Contributions of Chief Justice John Marshall
KF8745 .T48 R33 1992,1992 P,"Race-ing, Justice, En-gendering Power: Essays on Anita Hill, Clarence Thomas, and the Constitution of Social Reality"
KF9223 .A75 C745 1995,1995 P,Crime and Punishment: Philosophic Explorations
KF9223 .A75 C745 1995,1995 P,Crime and Punishment: Philosophic Explorations
KF9315 .D85 1993,1993 H,"Life's Dominion: An Argument about Abortion, Euthanasia, and Individual Freedom"
KF9315 .D85 1993,1993 H,"Life's Dominion: An Argument about Abortion, Euthanasia, and Individual Freedom"
KJV130 .D8 D3813,1983 P,The Return of Martin Guerre
KK9430 .A65 K63,1989,In the Name of the Volk
KZ1256 .M67 2008,2008,Moral Universalism and Pluralism
KZ2093 .A3 J8813 1901,1901,The Rights of War and Peace
KZ2093 .A3 J8813 1901,1901 H,The Rights of War and Peace (Including Law of Nature and of Nations)
KZ2093 .A3 J8813 1949,1949 H,The Law of War and Peace
KZ3295 .T83 A37,2001,The Rights of War and Peace: Political Thought and the International Order from Grotius to Kant
KZ6362 .C6 1966,1966 P,"War, Peace, and Freedom"
KZ6362 .C6 1966,1966 P,"War, Peace, and Freedom"
KZ6369 .O38 1997,1997 P,Saving Lives with Force: Military Criteria for Humanitarian Intervention
L106 .S3 1964,1964 P,The Structure of Knowledge and Cirriculum
LA11 .B66 1965,1965 P,Exemplars of Teaching Method
LA13 .R85 1965,1965 H,The Doctrines of the Great Educators
LA1312.W44 1987,1987,The Japanese Educational Challenge
LA132 .C64 1985,1985 P,The World Crisis in Education: The View from the Eighties
LA132 .S33 1973,1973 P,Reason and Teaching
LA14 .T46 1964,1964 P,The History of Education
LA1841 .R4,1968 P,Tanzania: Revolution by Education
LA205 .F68 2001,2001 P,The School in the United States: A Documentary History
LA205 .S47 1974,1974 P,Foundations of Education: Dissenting Views
LA205 .S64 2004,2004 P,The American School: 1642-2004
LA209 .P422 1991,1991 P,The Imperfect Panacea: American Faith in Education 1865-1990
LA209 .S59 1995,1995 P,Sources: Notable Selections in Education
LA209 .S59 1995,1995 P,Sources: Notable Selections in Education
LA209 .S59 1995,1995 O,Instructor's Manual for Sources: Notable Selections in Education
LA209 .S59 1995,1995 O,Instructor's Manual for Sources: Notable Selections in Education
LA209.2 .A76 1985,1985 P,"Education Under Seige: The Conservative, Liberal and Radical Debate Over Schooling"
LA209.2 .M2 1951,1951 H,Education: The Wellspring of Democracy
LA209.2 .M35 1963,1963 P,The Schools
LA209.2 .R79,1965 H,Schools in an Age of Mass Culture
LA209.2 .T57 1974,1974 P,Learning for Tomorrow: The Role of the Future in Education
LA209.2 .W64,1965 P,Introduction to American Education
LA209.S59 1995,1995 O,Instructor's Manual for Sources: Notable Selections in Education
LA21 .F44 1975,1975 H,Reason and Rhetoric: The Intellectual Foundations of 20th Century Liberal Educational Policy
LA21 .H54 1973,1973 P,Education and the Endangered Individual: A Critique of Ten Modern Thinkers
LA210 .C5394 1980,1980 P,Education: A Time for Decisions
LA210 .F69 1993,1993 P,From Risk to Renewal: Charting a Course for Reform
LA210 .I4 1970,1970 H,Deschooling Society
LA210 .M524 1979,1980 P,The United States Educational System: Marxist Approaches
LA210.I4 1983,1983,Deschooling Sociey
LA210.L46 1968,1968 P,Education and Ecstacy
LA212 .A37 1988,1988 P,Reforming Education: The Opening of the American Mind
LA212 .P63 1973,1973 P,How to Recognize a Good School
LA212 .T47,1977 H,The Third Century: Twenty-Six Prominent Americans Speculate on the Educational Future
LA216 .C82 1993,1993 P,How Teachers Taught: Constancy and Change in American Classrooms 1880-1990
LA217 .H46 1977,1977 H,Does Anybody Give a Damn?
LA217 .H6 1969,1969 P,The Underachieving School
LA217 .K69 1975,1975 P,The Night Is Dark and I Am Far from Home: A Political Indictment of the U.S. Public Schools
LA217 .P6 1969,1969 P,Teaching as a Subversive Activity
LA217 .S54,1970 H,Crisis in the Classroom: The Remaking of American Education
LA217 .W36,1980,The Education of the Public
LA217 .W66 1983,1983 P,The Persistent Problems of Education
LA217.2 .P67 1995,1995,The End of Education: Redefinging the Value of School
LA217.2 .P67 1995,1995,The End of Education: Redefinging the Value of School
LA217.2 .R48 1995,1995 P,Rethinking Schools: An Agenda for Change
LA217.2 .T34 1991,1991 P,Taking Sides: Clashing Views on Controversial Educational Issues
LA22.3 .P475.3 1975,1975 O,Trends in Higher Education: No. 3 Governance (Organization and Administration)
LA22.3 .P475.3 1975,1975 O,Trends in Higher Education: No. 3 Governance (Organization and Administration)
LA222 .B68 1983,1983 H,High School: A Report on Secondary Education in America
LA222 .G66 1971,1971 H,Secondary Education: The High School America Needs
LA222 .H4 1971,1971 P,How to Survive in Your Native Land
LA222.3 .B678 1987,1987 P,College: The Undergraduate Experience in America
LA226 .F7 1968,1968 P,Education and the Barricades
LA226 .J4 1969,1969 P,The Academic Revolution
LA226 .S627 1990,1990 H,Killing the Spirit: Higher Education in America
LA226.R72,1962,The American College and University
LA227.3 .B584 1987,1987 H,The Closing of the American Mind
LA227.4 .D73 1995,1995 P,The Drama of Diversity and Democracy: Higher Education and American Commitments
LA227.4.C53 1994,1994,A Classification of Institutions of Higher Education
LA228 .E53 M4,1970 P,"""The American Scholar Today"": Emerson's Essay and Some Critical Views"
LA228 .E53 M4,1970 P,"""The American Scholar Today"": Emerson's Essay and Some Critical Views"
LA229 .B36 1970,1970 P,Campus Power Struggle
LA23 .B43 1939,1939 P,The Saber-Tooth Curriculum
LA2317 .K64 A33 1984,1984 P,Growing Minds: On Becoming a Teacher
LA2317.C62 A3 1990,1990 P,Marva Collins' Way: Returning to Excellence in Education
LA488 .M85 1988,1988 P,The Cuban University under the Revolution
LA5 .U4 1975,1975 P,Three Thousand Years of Educational Wisdom: Selections from Great Documents
LA633 .M8 1971,1972 P,Children Come First: The Inspired Work of English Primary Schools
LA692.C3613 1967,1967 H,Tomorrow's Education: The French Experience
LA971.82 .B68 1972,1972 P,Education in Romania: A Decade of Change
LB 1028.3 .S55 1968 ,1968,The Technology of Teaching
LB1025 .A462 1966,1966 P,Teaching in a World of Change
LB1025 .H63 1950,1950 P,The Art of Teaching
LB1025.2 .K62 1977,1977 P,On Teaching
LB1025.2 .P653,1982 H,"Philosophy of Education: Studies in Philosophies, Schooling, and Educational Policies"
LB1025.2 .R422 1971,1971 P,"Readings in the Foundations of Education: Commitment to Teaching, Vol. II"
LB1025.2 .R422 1971,1971 P,"Readings in the Foundations of Education: Commitment to Teaching, Vol. II"
LB1025.2 .S365 1977,1977 P,Social-Philosophical Foundations of Education
LB1025.2 .W4 1971,1971 P,Nobody Can Teach Anyone Anything
LB1025.2.H5,1976,The Immortal Profession
LB1027 .H95 1970,1970 P,Ways of Teaching
LB1027 .K6 1969,1969 P,The Open Classroom: A Practical Guide to a New Way of Teaching
LB1027 .M3185 1975,1975 P,The Limits of Schooling
LB1027 .S3659 1995,1995 O,Schooling & Education: Exploring New Possibilities: 1995 Nos 2 & 3
LB1027 .S3659 1995,1995 O,Schooling & Education: Exploring New Possibilities: 1995 Nos 2 & 3
LB1027.5 .W59 1990,1990,Life Space Intervention
LB1027.L66,1977 P,Method in the Classroom
LB1028.5 .D35 1964,1964 P,Educational Technology: Readings in Programmed Instruction
LB1028.5 .P48 1968,1968 P,New Look at Education: Systems Analysis in Our Schools and Colleges
LB1029.O6 N9 1971,1971 P,Open Education: A Sourcebook for Parents and Teachers
LB1033 .G5 1972,1972 H,Teacher and Child: A Book for Parents and Teachers
LB1033 .R37,1966 P,Values and Teaching: Working with Values in the Classroom
LB1049 .S414 1980,1980 P,How to Read a Book
LB1049 .S414 1980,1980 P,How to Read a Book
LB1049.S4141980,1980 P,How to Read a Book
LB1051 .B74 1973,1973 P,The Relevance of Education
LB1051 .R636,1969 P,Freedom to Learn
LB1051 .R636,1969,Freedom to Learn
LB1060.H66 1989,1989,Learning All the Time
LB1073 .N6,1967 P,Society's Children: A Study of Ressentiment in the Secondary School
LB1131 .W388 1965,1965 P,Fostering Intellectual Development in Young Children
LB1137 .A9 1969,1969,Play Therapy
LB14.7 .S67 1994,1994,"Wheels in the Head: Educational Philosophies of Authority, Freedom, and Culture…"
LB14.7 .S67 1999,1999 P,"Wheels in the Head: Educational Philosophies of Authority, Freedom, and Culture…"
LB1530 .G7 1969,1969 P,Teaching the Social Studies
LB1537 .S34 1992,1992 O,Peacemaking Skills for Little Kids
LB1537 .S34 1992,1992 O,Peacemaking Skills for Little Kids
LB1537 .S34 1992,1992 O,Peacemaking Skills for Little Kids
LB1555 .H79 1977,1977 P,How Children Learn
LB1555 .J27 1990,1990 P,Life in Classrooms
LB1555 .M32 1985,1985 O,Becoming Peacemakers: Peace Education Cirriculum: Pre-School to Grade 5
LB1555 .M32 1985,1985 O,Becoming Peacemakers: Peace Education Cirriculum: Pre-School to Grade 5
LB1570 .V3 1974,1974 P,Curriculum: Quest for Relevance
LB1590.3 .D56 1988,1988 P,Dimensions of Thinking: A Framework for Cirriculum and Instruction
LB1607 .C647 1959,1959 P,The American High School Today: A First Report to Interested Citizens
LB1607 .F78 1967,1967 P,Coming of Age in America: Growth and Acquiescence
LB1607.5 .T35,2007,Taking Sides
LB1623 .G6 1969,1969 P,Education for Learning to Live Together
LB1623 .G6 1969,1969 P,Education for Learning to Live Together
LB1628 .S37,1975 P,Toward Humanistic Teaching in High School
LB17 .K57 1982,1982 P,Issues & Alternatives in Educational Philosophy
LB1715 .K6,1965,The Miseducation of American Teachers
